name,source_path,copy_path,image_name
Mick_Jagger,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Mick_Jagger\Mick_Jagger_0003.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Mick_Jagger\Mick_Jagger_0003.jpg,Mick_Jagger_0003.jpg
Mick_Jagger,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Mick_Jagger\Mick_Jagger_0004.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Mick_Jagger\Mick_Jagger_0004.jpg,Mick_Jagger_0004.jpg
George_HW_Bush,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\George_HW_Bush\George_HW_Bush_0004.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\George_HW_Bush\George_HW_Bush_0004.jpg,George_HW_Bush_0004.jpg
George_HW_Bush,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\George_HW_Bush\George_HW_Bush_0001.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\George_HW_Bush\George_HW_Bush_0001.jpg,George_HW_Bush_0001.jpg
Jacques_Chirac,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Jacques_Chirac\Jacques_Chirac_0009.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Jacques_Chirac\Jacques_Chirac_0009.jpg,Jacques_Chirac_0009.jpg
Jacques_Chirac,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Jacques_Chirac\Jacques_Chirac_0034.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Jacques_Chirac\Jacques_Chirac_0034.jpg,Jacques_Chirac_0034.jpg
Vaclav_Havel,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Vaclav_Havel\Vaclav_Havel_0009.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Vaclav_Havel\Vaclav_Havel_0009.jpg,Vaclav_Havel_0009.jpg
Vaclav_Havel,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Vaclav_Havel\Vaclav_Havel_0008.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Vaclav_Havel\Vaclav_Havel_0008.jpg,Vaclav_Havel_0008.jpg
Vicente_Fernandez,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Vicente_Fernandez\Vicente_Fernandez_0003.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Vicente_Fernandez\Vicente_Fernandez_0003.jpg,Vicente_Fernandez_0003.jpg
Vicente_Fernandez,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Vicente_Fernandez\Vicente_Fernandez_0005.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Vicente_Fernandez\Vicente_Fernandez_0005.jpg,Vicente_Fernandez_0005.jpg
